,Rx Time (sec),Rx Intensity,Rx Voltage PWM (V)
0,5.51525092124939,84,2.772
1,5.541867017745972,84,2.772
2,5.5684778690338135,84,2.772
3,5.595109701156616,84,2.772
4,5.621684789657593,84,2.772
5,5.648299694061279,84,2.772
6,5.674897909164429,84,2.772
7,5.701512813568115,84,2.772
8,5.728117942810059,84,2.772
9,5.754739761352539,84,2.772
10,5.781298875808716,84,2.772
11,5.8079307079315186,84,2.772
12,5.834546804428101,84,2.772
13,5.861152648925781,84,2.772
14,5.887734651565552,84,2.772
15,5.914376974105835,84,2.772
16,5.941029787063599,84,2.772
17,5.967549800872803,84,2.772
18,5.994192838668823,84,2.772
19,6.020772695541382,84,2.772
20,6.0473997592926025,84,2.772
21,6.074023962020874,84,2.772
22,6.1005859375,84,2.772
23,6.127194881439209,84,2.772
24,6.153808832168579,84,2.772
25,6.180463790893555,84,2.772
26,6.207114934921265,84,2.772
27,6.233628749847412,84,2.772
28,6.2602128982543945,84,2.772
29,6.2868406772613525,84,2.772
30,6.3134448528289795,84,2.772
31,6.340102910995483,84,2.772
32,6.366639852523804,84,2.772
33,6.393222808837891,84,2.772
34,6.419836759567261,84,2.772
35,6.44645881652832,84,2.772
36,6.473160982131958,84,2.772
37,6.4996657371521,84,2.772
38,6.526252746582031,84,2.772
39,6.552871942520142,86,2.8379999999999996
40,6.579519987106323,87,2.871
41,6.606099843978882,90,2.9699999999999998
42,6.6327009201049805,93,3.069
43,6.647579908370972,96,3.1679999999999997
44,6.662514925003052,98,3.234
45,6.677449941635132,100,3.3
46,6.692332744598389,100,3.3
47,6.707191705703735,100,3.3
48,6.722117900848389,100,3.3
49,6.736949920654297,100,3.3
50,6.751867771148682,100,3.3
51,6.766761779785156,100,3.3
52,6.781620979309082,100,3.3
53,6.7965357303619385,100,3.3
54,6.811391830444336,100,3.3
55,6.8263139724731445,100,3.3
56,6.8412017822265625,100,3.3
57,6.856099843978882,100,3.3
58,6.871119737625122,100,3.3
59,6.885934829711914,100,3.3
60,6.9007978439331055,100,3.3
